                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0638,                  3.783,                 1.2091,                0.01185,                0.68085,                0.01634,                0.00734,                 1.8875,                 3.7628,                 1.1439,                0.00012,                0.00012,                0.00012
                      2,                 2.0773,                 2.0052,                  1.223,                0.01556,                0.89362,                0.06007,                0.01686,                 2.0643,                 3.3426,                 1.1612,             0.00025743,             0.00025743,             0.00025743
                      3,                 2.1338,                 1.5686,                 1.1773,                0.01481,                0.85106,                0.02281,                0.00821,                 2.0069,                 3.4222,                 1.1618,             0.00039208,             0.00039208,             0.00039208
                      4,                 2.0992,                 1.5523,                 1.2269,                0.01593,                0.91489,                0.02496,                0.00893,                 1.9195,                 3.3912,                 1.1362,             0.00052396,             0.00052396,             0.00052396
                      5,                 2.0746,                 1.4052,                 1.2094,                0.01519,                0.87234,                0.02641,                0.00908,                 2.2245,                  3.292,                 1.2034,             0.00065307,             0.00065307,             0.00065307
                      6,                  1.999,                 1.4131,                 1.1794,                0.01593,                0.91489,                0.07213,                0.02219,                 2.2372,                  3.151,                 1.2407,             0.00077941,             0.00077941,             0.00077941
                      7,                 2.0423,                 1.2839,                 1.1643,                0.01519,                0.87234,                0.02088,                0.00962,                 1.7309,                 4.4257,                 1.0536,             0.00090298,             0.00090298,             0.00090298
                      8,                 2.0267,                 1.2823,                  1.199,                0.01593,                0.91489,                0.06188,                0.02724,                 1.8246,                 2.9306,                 1.1009,              0.0010238,              0.0010238,              0.0010238
                      9,                 2.0002,                 1.2155,                 1.1512,                0.01667,                0.95745,                0.53909,                0.16588,                 1.8784,                 2.8393,                 1.1272,              0.0011418,              0.0011418,              0.0011418
                     10,                  2.093,                 1.3117,                 1.2564,                 0.0163,                0.93617,                0.84187,                0.31295,                 1.9418,                 2.6144,                 1.1715,               0.001257,               0.001257,               0.001257
                     11,                 1.9756,                 1.1943,                 1.1394,                0.94269,                0.82979,                0.93292,                0.40307,                  1.758,                 2.3858,                 1.0837,              0.0013695,              0.0013695,              0.0013695
                     12,                 1.9014,                 1.1085,                 1.1614,                0.89201,                0.70303,                0.87383,                0.32246,                  1.908,                  1.871,                 1.1676,              0.0014792,              0.0014792,              0.0014792
                     13,                 1.8988,                 1.0727,                 1.1472,                0.86224,                0.74468,                0.92314,                0.35362,                 1.7556,                 1.8762,                 1.0899,              0.0015862,              0.0015862,              0.0015862
                     14,                 1.9669,                 1.1327,                 1.1664,                0.90973,                0.93617,                0.95586,                0.36865,                 1.7957,                 1.7646,                 1.0837,              0.0016903,              0.0016903,              0.0016903
                     15,                 1.9138,                 1.0918,                 1.1684,                0.90982,                0.91489,                0.96067,                0.42308,                 1.9126,                 1.3435,                 1.1332,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.8592,                  1.093,                 1.1554,                0.80866,                0.91489,                0.91841,                0.38883,                 1.7846,                 1.4725,                  1.087,               0.001703,               0.001703,               0.001703
                     17,                 1.9037,                 1.1654,                 1.1338,                 0.7838,                0.84855,                0.87826,                 0.3804,                 1.9442,                 1.5114,                 1.1366,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.8934,                 1.0898,                  1.111,                0.88023,                0.89362,                0.88813,                0.34133,                 2.1307,                 1.2552,                 1.2331,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.8723,                 1.0753,                 1.1293,                0.86904,                0.91489,                0.89111,                0.40804,                 1.9196,                 1.1286,                 1.1476,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.8723,                 1.0872,                 1.1468,                0.96271,                0.97872,                 0.9695,                0.38739,                 2.0034,                 1.2499,                 1.1591,              0.0016238,              0.0016238,              0.0016238
